title,company,location,modality,description
Data Analyst,Olala Homes,"Barcelona, Catalonia, Spain",Hybrid,"
Olala Homes is a unique tech-enabled hospitality management company focusing on the short-term vacation rental segment through the ownership and management of over 400 units across multiple countries and cities. Olala Homes’ lean business model coupled with its real estate development expertise and topped with its strong team form a solid base for its ambitious future expansion plan across Spain, Europe, and beyond. The company’s HQ is located in Barcelona with satellite offices in Greece, Romania, Portugal, and Israel. Olala Homes is part of the Rina Group, a group of companies investing in Tourism & Hospitality, Industrial Minerals, Real Estate, and Agriculture across 3 continents.
Job Brief We are seeking a skilled and motivated Data Analyst to join our team in the hospitality industry. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting data to help drive informed decision-making and improve operational efficiency within our organization. Your expertise in data analysis and strong business acumen will play a crucial role in optimizing our operations, enhancing customer experiences, and identifying growth opportunities. This is an exciting opportunity for a talented individual to contribute to the success of our organization through data-driven insights.
Main responsibilities:Data Collection and Analysis: Gather data from various sources, including internal databases, customer feedback, and external data sets. Analyze and interpret this data to identify trends, patterns, and insights relevant to the hospitality industry.Performance Tracking: Develop and maintain performance metrics and dashboards to monitor key performance indicators (KPIs) across different aspects of our hospitality operations. Regularly evaluate and report on performance trends, providing actionable recommendations for improvement.Operational Efficiency: Identify areas of operational inefficiencies and collaborate with cross-functional teams to develop strategies and solutions. Utilize data analysis techniques to optimize processes, reduce costs, and enhance productivity within the organization.Customer Insights: Analyze customer feedback, preferences, and behavior to generate actionable insights that can be used to enhance customer experiences. Provide recommendations on how to improve customer satisfaction and loyalty based on data analysis.Data Visualization and Reporting: Create visually appealing and informative reports, charts, and presentations to effectively communicate complex data insights to both technical and non-technical stakeholders. Use data visualization tools and techniques to present findings in a clear and concise manner.Continuous Learning and Improvement: Stay updated with the latest data analysis techniques, tools, and industry trends. Proactively identify opportunities for process improvement and propose innovative solutions to enhance the effectiveness and efficiency of data analysis.
Requirements:Minimum 2 years of experience as a Data Analyst or Business Data AnalystBS in Mathematics, Economics, Computer Science, Information Management or StatisticsTechnical expertise regarding data models, database design development, data mining and segmentation techniques. Preferably within the hospitality industry.Excellent written and verbal communication skillsStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdvanced knowledge in Excel, SQL and PhytonFamiliarity with database management systems and data warehousing concepts.Experience in building reports for data visualization (ideally Power BI)Zendesk Knowledge is a big plusProfessional level of English 
If you are passionate about data analysis and its application to the hospitality industry, and if you thrive in a dynamic and results-oriented environment, we would love to hear from you. Join our team and contribute to shaping the future of our organization through data-driven decision-making.
What we offer:Competitive salary with other benefits such as employee discounts staying in Olala Homes’ properties, weekly fruit basket in the office, happy hour, etc.Opportunity to be mentored by experienced professionals and gain first-hand know-how in a swift pacePositive corporate culture to be proud to be a part of a fast growing company
 "
Tech Data Analyst,eDreams ODIGEO,"Barcelona, Catalonia, Spain",Unknown,"
Join eDreams ODIGEO, the largest Online Travel Agency in Europe, and make your professional journey a success in one of the most innovative companies in the e-commerce space
eDreams ODIGEO is one of the world's largest online travel companies and one of the largest e-commerce businesses in Europe. Under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo – it serves more than 18 million customers per year across 46 markets. Listed on the Spanish Stock Market, eDreams ODIGEO works with over 665 airlines and has partnerships with 130. The brand offers the best deals in regular flights, low-cost airlines, hotels, cruises, car rental, dynamic packages, holiday packages and travel insurance to make travel easier, more accessible, and better value for consumers across the globe. Travel is the largest e-commerce segment in the world and eDreams ODIGEO is at the heart of it.
We are now looking for highly skilled technical Data Analysts for several areas as; Customer Support, Marketing Measurement, Data Science, Experiments & Insights, Check Out & others. Our teams are passionate about data, automation, statistical models, technology and innovation and love to work in a collaborative and agile environment.
Customers are at the heart of everything we do. We put them first and foremost. We use data, technology and research to develop insights, products and features that will directly make an impact on a unique traveller experience.
Responsibilities will include: 
 Responsible for execution of key analysis, being the data entry point for the business team and taking ownership of the different data sources from the business side. Understand the business needs, gather the data and present the key insights.  Own P&L metrics identifying the drivers of over and underperformance and providing data driven recommendations for how we can improve the P&L performance  Turn business questions into functional analysis, extract relevant and actionable insights working with data from many different data sources using Python/R/SQL and work with your stakeholders to make them happen;  Elaborate business cases to support strategic product decisions.  Design and execute measurement experiments; Analyse performance and user behaviours in the A/B Tests experiments or Pre-Post run by the business stakeholders;  Create dashboards and tracking: master the internal Business Intelligence tools to contribute to the monitoring and tracking of our business KPIs. Work with data engineering and data science teams to be able to leverage relevant data  Contribute to the delivery of strategic projects: participate in the delivery of key initiatives, giving support from the business side to ensure progress and effective delivery of the desired outcomes. Work together with stakeholders in the execution of the projects, giving support from the analytical and business side 
Desired Skills and Experience:
 Bachelor’s degree in a quantitative discipline (Mathematics, Statistics, Computer Science, Engineering, Economics, etc.),  Experience in a role with strong analytical component  Strong knowledge of SQL is a requirement, as well as experience in working with databases and large sets of data; python/R programming skills and experience with Looker Studio, Power BI will be required.  Advanced Office skills. Strong experience with analytical tools, ideally with the Google toolset (spreadsheets, google docs, etc)  Strong analytical skills, fast-learner, with high attention to detail and focused on results and productivity  A self-starter and team player, who also enjoys having fun!  Business Proficiency in English
What we offer:
 We support a phenomenal lifestyle and work-life-balance with our flexible hours and flexible remote work policy.  A free eDreams Prime subscription to benefit from significant discounts on your travels.  Competitive compensation package with an attractive bonus structure.  Excellent environment for continuous growth and learning: with our Learning & Development programs, you will have access to tech talks, internal soft skills and technical skills training, language lessons, external events and industry conferences.  Free subscription to Coursera Learning Platform.  Fast-track career development: with our unique programs, you are always working towards the next step on your career path.  New to the city? We also offer great relocation packages.  Additional prizes and awards for a variety of team and individual achievements.  Fun at work: at eDreams ODIGEO, work and fun go hand in hand! 
… And the opportunity to work on a dynamic, dedicated, fun and passionate team of professionals. We journey together!
Come dream with us and join us now!
eDreams ODIGEO under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo –is an equal opportunity employer and value diversity and inclusion. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status or disability status.

 "
Data Engineer,Coniq,"Barcelona, Catalonia, Spain",Hybrid,"
Description
Coniq is a dynamic, high growth UK-based SaaS company that provides total customer engagement and loyalty services to many of the world’s leading property developers, shopping centers and retailers. Coniq powers well over £1 billion of sales annually for its clients, with more than 20 million consumers shopping at 1,800 brands in 24 countries worldwide, and has offices in Europe, the US and the Middle East.
We are looking for a Data Engineer. The role will be responsible for maintaining, optimising and extending our enterprise MySQL databases, peripheral database systems (RDBS and Data warehouse), and data pipeline operations (ETL/ELT management), to sustain our current operational data needs, and to enable Coniq’s continued growth. Coniq leads the world in providing shopper engagement and loyalty solutions for the most advanced retail destinations and we are looking for talented individuals to join us on our journey.
Ideally, we would like this role to be based in Barcelona to spend some time with our team in the office, however, we’re open for this role to be remote in Spain.
Reports to Head of Data Operations.
Responsibilities
Maintenance, development and expanding of multiple MySQL databases and data warehousesEnsuring data management systems health and performanceCreating and optimising queries for data analysis and day-to-day data operations required by Coniq’s applicationsSupporting Data Analysts to transform client data requirements into executable queriesSynchronising data between data sources (MySQL, 3rd Partydata sources, etc.) and data store systems (MySQL, Exasol, etc.)Supporting the application development team to build, validate and optimise database interactionsMaintaining processes to ensure failover and disaster recoverySupporting the development team with data operations to facilitate software deployments
Relevant experience
You have managed a high volume, high performance MySQL database in a multi-tenancy, SaaS environment.You are highly proficient in creating, optimising and maintaining SQL queries and processes - including triggers and stored procedures.Database health and performance is central to your thinking and work - you have experience of performance tuning, optimising and partitioning data in conjunction with analysing query performance.You have designed and maintained processes to replicate data into redundant databases and into read-replica sets - including into different database systems.You have supported an application development team to ensure that all data operations are optimal to the needs of the business.You have an experience working with columnar and non-relational databasesYou have experience modeling and management of ETL/ELT processes on data flow systems; such as airflow, azkaban etc.; between tabular databases and data warehousesYou have scripting experience in Python, bash or similar scripting language
Requirements
Proactive problem solverAble to work independently, identifying problems and solutions and planning for future improvementAble to work with stakeholders that are not data expertsExcellent attention to detailHighly proficient and experienced in any Native SQL - experience of MySQL dialect essentialUnderstanding of Enterprise Queues and pipelinesUnderstanding of APIsA strong understanding of agile methodologiesProficient in Python scripting or similar scripting languageDesirable:Experience maintaining non-relational and columnar databases - Exasol, ElasticSearch, NoSQL etcPerformance tuning and data partitioningKnowledge on data infrastructures and architectures - Hybrid, SMACK, etc.

Benefits
We offer a generous package, including:Competitive salaryCompany stock options25 days holiday plus statutory holidaysA day off to celebrate your birthdayA day off for your wellbeingShorter working hours on FridaysA strong company values framework, including paid leave for volunteering with approved charitiesRegular team building activitiesTraining & development allowanceNew employee referral schemeThis is a unique opportunity to join a VC-funded high growth SaaS business where we all share a passion to work together to build a great product and a great company. We are proud of our company culture and invest a great deal into making sure that we promote Diversity in the workplace. Together we come from over 20 nationalities and as a tech business, we are very proud of the 50/50 gender split.
 "
Senior Data Engineer,Scalapay,"Barcelona, Catalonia, Spain",Hybrid,"
                Thanks to our innovative BuyNow PayLater payment solution, Scalapay is transforming the way more than 2 million customers buy online and in-store, empowering 5,000+ merchants to give their customers magical shopping experiences.
Being only 3 years old didn’t stop us from becoming a unicorn 🦄 We have raised over $700mln and we did this thanks to a team built around our 4 core values: #createmagic #staycurious #beimpactful #playasateam.
This is where your magic happens. If you love it, Scalapay it ♥
THE MISSION
Data-driven decisions are the centre of our efforts to automate processes and support decisions across the business.
As Senior Data Engineer, your role will focus on developing distributed software for large-scale heterogeneous data processing, the development of ETL and reverse ETL pipeline.
You will be responsible for:
 Data modelling Data lineage Data quality / Data observability SLA, performance and scalability
You’ll be required to discuss requirements for data access and integrations with colleagues across the business, design solutions to the company’s problems and implement these using modern software processes in the cloud.
The role gives a large amount of autonomy and the chance to work with a top-notch team of experienced data experts.
Who we are looking for: 
 Strong Python and SQL experience Experience building and deploying ETL pipelines Experience with API integration Ability to scope projects and decompose work into tasks Familiarity with Linux-like development stacks, including Git, Kubernetes, etc Familiarity with AWS infrastructure (such as S3, Athena, Glue, etc) Knowledge of Data Modeling / Data Observability is a plus Ability to engage with colleagues on business processes A Bachelor's degree in computer science or a related field
Why you should join Scalapay:
 Attractive packages based on skills and experience International environment with significant challenges to be met every day Lots of opportunities to work with a team of industry tech leaders who are focused on delivering products that offer exceptional user experiences Personalised support to accelerate your professional growth and take ownership of the products you deliver: we want to help you grow! Latest technologies and being encouraged to bring your flair to the role
Recruitment Process:
 A quick chat with one of our Talent Acquisition team members The first interview with the Hiring Manager to deep dive into your experiences and better understand your motivation A case study to test your hard skills A Meet The Team session where you’ll get to meet different people at Scalapay and see if you’ll fit into our culture
_________________________________________________________________________
Want to learn more? Don't hesitate to explore our Careers website and Careers website, and our LinkedIn, WTTJ, Meritocracy and Glassdoor pages.
Pro tip: send your CV in English 😉
Super Pro tip: we know that application processes can be scary and frustrating but… we look for talent, not people that tick all our boxes.
We believe in the power of diversity: Scalapay is an Equal Opportunity Employer for any minority, disability, gender identity or sexual orientation.
 "
Data Analyst,Smadex,"Barcelona, Catalonia, Spain",Hybrid,"
Smadex is a leading advertising technology company founded in Barcelona in 2011 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are currently considered one of the top mobile ad-tech companies in the world, competing with American-based Liftoff and Korean-based Moloco, both in the pre-IPO stage and averaging about $500M in yearly revenues.
We are looking for a Data Analyst with strong SQL and analytics experience to join our Data Analysis Team. Working alongside our Data Engineers, the candidate should be communicative and analytical, in order to answer the complex questions that Product and Campaign performance are facing. For this purpose we use tons of data available to get powerful insights to resolve them, creating effective strategies to help improve the Smadex platform! 
The role is based in Barcelona!
Your tasks and responsibilities:Analyze large, complex data sets containing the behaviour of millions of mobile users and Apps worldwide to address strategic questionsObtain and Report insights from our Product´s performance (ML, Audiences, Creatives, Supply, etc) in order to make decisions that will impact revenue. Have one´s say!Develop automated dashboards and processes to ensure data influence decisions at all levels of the companyWorking cross-functionally with business and technical teams to support product performance
Skills and requirements:2+ years of experience as a Data AnalystWorking knowledge of SQL and large data sets, understanding of analytic methodologies for data evaluationBachelor's or Master's Degree in Engineering or BusinessStrong analytical skills with the ability to get insights.Outstanding communication and reporting skillsExcellent command of Microsoft Excel (Power Pivot & Power Query) Excellent communication skills in English both written and spoken are mandatoryPython/R, Superset, PowerBI experience is a plusDesire to join the ad-tech worldKnowledge of the ad-tech industry is a plus.
Please note that we do NOT provide VISA sponsorship. Candidates without a legal permit to work in Spain won't be considered. What is in it for you:Integrate a highly motivated and young teamGreat compensation packageTop location at the heart of Barcelona in a penthouse office with a rooftop terrace, Barbeque, and a fully stocked fridgeGreat work-life balance: work from home, flexible hoursLearning and training opportunitiesMeal vouchers - Tickets Restaurant monthly allowanceMonthly gym allowance to use in up to 30 DIR gyms around the cityMonthly TGIF eventsRegular team-building eventsFun and friendly work environment with talented marketers and engineers from over 21 countriesExposure to leading global app publishers (Zynga, King, Rovio, EA, etc.) and media partners in the digital advertising industryAnd more!
 "
Data Analyst,Popcarte,"Barcelona, Catalonia, Spain",Hybrid,"
À propos
Popcarte est une marque de jolies cartes et beaux faire-part à personnaliser en ligne.Créée en 2005 par Benoit Martin, Popcarte s’est donné la mission de rendre ses clients beaucoup, beaucoup plus heureux en leur proposant de la papeterie et des calendriers pour les petits comme pour les grands évènements de leur vie.
Que ce soit pour annoncer un mariage, une naissance, un anniversaire ou simplement faire un petit coucou, Popcarte place l’innovation et l’expérience client au cœur de ses préoccupations.
Personnalisés sur le site ou sur l'app, les cartes et faire-part Popcarte sont ensuite imprimés et expédiés en 24h.
Toute l'expérience Popcarte ne serait rien sans le talent, l'énergie et l'enthousiasme de la PopFamily, une Equipe au top !
Tous les membres de la Popfamily partagent - et c'est essentiel pour nous - les valeurs suivantes :Honnêteté et RespectCréativité, Ouverture et CuriositéEnthousiasmeImplication et Sens des responsabilitésVolonté de s'améliorer chaque jourSans jamais se prendre au sérieux
Descriptif du poste
Data Analyst (H/F) - Missions en français
En pleine phase de croissance, Popcarte met la Data au coeur de sa stratégie de développement. A la croisée de tous les métiers de la société (Produit, Offre, Marketing, Finance, IT, Opérations), la Data est aujourd’hui un levier clé et fondamental pour la prise de décisions business et l'optimisation du travail des équipes.
Popcarte recherche un(e) Data Analyst pour structurer, rendre accessible et analyser nos Données et asseoir notre démarche “Data Centric”’.
Au coeur de notre équipe, vous travaillerez avec l’ensemble de nos métiers sur les thématiques suivantes:
> Management de notre data warehouseAssurer le maintien de notre data warehouse et le faire évoluerEnrichir les données collectées, qualitativement et quantitativement
> Analyse et modélisationAccompagner les équipes dans la définition et l’automatisation de leurs tableaux de bords métiersRéalisation des analyses ad hoc en fonction des besoins des différents pôles (Marketing, Produit, Finance, Opérations, Service Client…) et émettre des recommandations en vue d’amélioration de l’expérience client interne et externeCréer de nouveaux processus liés à la donnée et fournir à nos équipes des rapports et alertes leur permettant de mieux réaliser leurs missionsParticiper à l’élaboration de projets de développement stratégiques sous tendus par des analyses fines et poussées de données. Réalisation de modélisations associées.Benchmark des Best Practices Data
> Structurer l’activité DataPromouvoir et accompagner en interne notre démarche data driven auprès des équipes opérationnellesMettre en place des process de pilotage et de suivi de l’activité.
Il s’agit donc d’un poste très complet car il est à la fois stratégique et opérationnel. C’est aussi un poste transverse qui vous amènera à vous coordonner avec toutes les équipes et qui vous demandera beaucoup de rigueur, de prise d’initiative et d’autonomie.
Nous vous proposonsUn contrat à durée indéterminéeDémarrage asapDes bureaux bien placés et agréables à Barcelone, Espagne (Calle Comte de Salvatierra, en plein centre, avec une jolie terrasse)Télétravail partiel possibleUne mission qui s’effectue en françaisUne rémunération attractive à définir en fonction de ton expérienceUne mutuelle fournieUn environnement de travail et une équipe résolument tournés vers l’amélioration continueUne vie sociale de l’équipe développée avec notamment nos drinks du vendredi et nos traditionnelles Summer & Winter Parties.
Profil recherchéFormation École d’Ingénieur / École de Commerce ou Master universitaire (Master Mathématiques Appliquées etc.)Minimum 3 ans d’expérience en tant que Data Analyst notamment sur la gestion d’un Datalake et en business intelligence. Une expérience de Data Scientist est un plus.Profil analytique, technique et dataMaîtrise d’Excel, SQL, de langages tels que R ou Python et d’outils type LookerStudio, BigQuery ou AirbyteRigueur, prise d’initiative, organisation et autonomiePersonne avec un sens business, aimant relever les défis et résoudre les problèmesBon communicant, synthétique et clairForte culture digitale et goût pour les nouvelles technologiesEnvie de développer une marque et de participer au fort développement de la société.
Process de recrutement
Envoyez-nous votre plus beau CV ainsi qu'une lettre de motivation.Si vous avez la bonne expérience et une furieuse envie d'écrire l'avenir de Popcarte avec nous, vous passerez 3 entretiens dont un avec Benoît notre CEO.
Au minimum l'un de ces entretiens se fera ""en live"" dans nos bureaux de Barcelone. Nous vous demanderons aussi de travailler sur un cas pratique.
Un grand merci et à très bientôt !
 "
Azure Data Consultant,Inetum,Greater Barcelona Metropolitan Area,Hybrid,"
Sobre Inetum, Positive digital flowInetum es una compañía de servicios ágil que proporciona servicios y soluciones digitales y un grupo global que ayuda a compañías e instituciones a aprovechar al máximo el flow digital. En un contexto de continuo movimiento, en el que las necesidades y los usos se reinventan constantemente, el grupo Inetum se compromete con todos esos actores a innovar, seguir adaptándose y mantenerse a la vanguardia. Con su perfil multi-experto, Inetum ofrece a sus clientes una combinación única de proximidad, organización sectorial y soluciones de calidad industrial. Presente en más de 26 países, el Grupo tiene cerca de 27.000 empleados y en 2019 generó unos ingresos de 2.300 millones de euros (pro forma).
En Inetum buscamos incorporar profesionales con experiencia en un rol de Azure Data Consultant bajo el modelo de un COE. Buscamos un profesional con alta experiencia en SQL Server, Event Hub, Stream Analytics, Security, y será valorable estar familiarizado con el concepto de IoT.
Deseable conocimientos en:Data factorySynapseDatabricks
Valorable:Certificados de Azure en nivel básico: Azure Fundamentals o Azure Data Fundamentals o certificados equivalentes.Certificación de Microsoft “Azure Administrator Associate”.
¿Qué te ofrecemos?-Contrato Indefinido-Retribución salarial acorde con la experiencia aportada-Plan de carrera: ofrecemos una atractiva carrera profesional en función de la experiencia y potencial personal dentro de una compañía en continua evolución y con un sólido crecimiento-Plan de formación en competencias tecnológicas de acuerdo con las exigencias de los proyectos y clientes.-Retribución flexible: te ofrecemos una retribución a la carta pudiendo elegir diferentes productos y modelar tú mismo cómo distribuirlos: seguro de salud, tickets de comida, guardería, tarjeta transporte, etc.-Flexibilidad horaria
¡Te estamos esperando, no dudes en apuntarte a la oferta!
 "
Data Analyst,Optimissa,"Cornellà de Llobregat, Catalonia, Spain",Hybrid,"
About Optimissa
Optimissa is a consulting firm specialized in Financial Services.We are always looking for the best consulting enthusiasts.
On this occasion, we are looking for a Data Analyst for one of our major international clients in the insurance industry. 
Missions description : Contribute on designing the modelling and detailed specifications of the Datawarehouse, Datamarts & Cube model Develop and automate extraction and ingestion flows, data curation and access layers Develop and automate cube and reportsContribute to IT Service continuity management process implementation and documentationMaintenance of data treatments (extraction/transformation/ ingestion) Data Flows Requested deliverables Deliver automated extraction and ingestion flows, data curation and access layersDeliver cube and Power BI reportsDeliver documentation on process implementation Technical environnement Data Lake, Azure Databricks (SQL & Python)Azure Data Analytics platformAzure Analysis Services & Microsoft Power BIAzure DevOps
 Technical skills:Minimum a 3-year experience on delivering BI solutions (Data flow, Data Model, Datamart, Cube, Report): Other skills- Fluent English 
We offer:-Stable incorporation-Excellent working environment-Professional career plan-Flexible Compensation Plan: combination of base salary + benefits that adapt to your circumstances (restaurant vouchers, medical insurance, childcare vouchers, transportation vouchers).-Flexible working day-Working area: Cornellà de Llobregat (50% Remote)
 "
Data Analyst,Quantion,Greater Barcelona Metropolitan Area,Hybrid,"
Who we areQuantion is a Business Digital Transformation services company born in 2015.Our services are based on a Digital Factory model. Through this model we help companies to accelerate its digital transformation projects with an end-to-end approach.
We have +120 professionals in application development, UX/UI and digital business transformation to build innovative solutions oriented to business results.
As a Digital Factory we combine our teams in cutting-edge technologies and digital deep experiences with the innovation ecosystem, to ensure that we can provide the best solution to face business challenges, from its concept to its implementation.
We are looking for a Data Analyst to join our Technology team. If you want to participate in one of our biggest International projects, don’t hesitate to apply!
What you will do: You will be responsible for designing, developing and maintaining data collection architecture, reports, metrics and analyses for different teamsYou will juggling all kinds of data, collect and analyze them and seek for patterns and trends to drive the digital acceleration and future customer experienceYou will utilize big data and business intelligence technologies to shape and drive key business decisions.You'll make analysis results accessible by building and providing dashboards and reports based on business needsYou closely align with business and management teams to assess business needsYou collaborate with the product teams to identify possibilities for improvement and adaptations regarding their digital productsYou will work pragmatically and support my team to deliver high quality solutions with speedYou will work in an international environment with a diverse teamYou will work in an international environment with a highly diverse team
Required skills:At least 2 years of experience as a Digital AnalystExperience in working in cross-functional teams in an agile environmentKnowledge of software-development processes, dependencies and digital products as well as methodologies and frameworks like Scrum and KanbanKnowledge of databases (e.g., SQL, NoSQL…), reporting tools (e.g. , Tableau) and cloud platforms (esp. Microsoft Azure)Ambition to master and not being intimidated by unstructured data and large datasetsWillingness to expand my comfort zone by sometimes leaving itVery good command of English language

Apply to our offer…💟 If you are passionate about technologies💟 If you define yourself as a team worker💟 If you want to work with a multidisciplinary and international team💟 If you want to be part of a company which is permanently expanding and growing💟 If you want to work in an international environment
Our offering:✨ Permanent contract✨ Competitive salary✨ 22 days of vacation✨ 5 additional holidays for Christmas✨ 4 additional holidays for Easter✨ Flexible working time✨ Continuous working days in summer
Committed to equality, at Quantion we believe in diversity and inclusion. We defend equal opportunities without discriminating based on gender, age, religion or sexual orientation or any other aspect that could be considered exclusive.
 "
Data Analyst,Danone,"Barcelona, Catalonia, Spain",On-site,"
About The Job
Each time we eat and drink, we vote for the world we want to live in.
Danone’s mission is bringing health through food to as many people as possible and we want to invite people to join the movement for a healthier world. We recognize the power people have to impact the world through their daily choices. Healthy food needs a healthy planet, and this is what our new signature One Planet One Health embodies.
Danette, Evian, Activia, Volvic, Blédina, sound familiar to you? Do you know that behind these brands there is always Information Technology pushing them forward?
At Danone, we use advanced and innovative IT solutions which are implemented in all Danone units around the world to contribute to our mission bringing health through food to as many people as possible. Don’t wait, click and discover the Danone IS/IT universe and join the movement your IT skills could be a real asset for the alimentation revolution!
https//youtu.be/MqjF1HxsTyw
About You
Profile & Experience
 Minimum of 5-6 years’ experience in the Data & Analytics Domain.  Minimum of 1 -2 years’ experience as Functional or Business Analyst in a product team.  Proven Track record of Implementing efficient and flexible dashboards / reports / data visualization capabilities.  Ability to demonstrate a mix of technical skills and business processes knowledge and proven experience in rolling out a data product in multiple markets. Essential to have experience in experience in data catalogue documentation and manage the product use throughout all the stages of the product lifecycle.  Experience working with Data Architects, Ingestion, Data scientists, Developers and visualization teams in an agile framework.  Strong ability to connect and communicate to distinct stakeholders in a complex organization, managing stakeholders from Global, Local, Business and IT colleagues.  Experience implementing modern data strategies and solutions using cloud technologies (Azure, AWS, Google), Informatica Cloud, Power BI or similar tools. 
Competencies
 A minimum of a Bachelor's /Masters Degree is required; a field in Computer Science, Math, or statistical background.  Excellent level in SQL-like languages (SQL, Python, NOSQL, …), data warehousing(Snowflake/ redshift/ others) Feeling comfortable with the implementation of dashboards with the main reporting tools in the industry (PowerBI / SpotfIre / Kibana etc., or equivalent) Good knowledge and curiosity about best-in-class Data technologies Experienced in Functional Analysis/ Business Analysis / Data Analysis Proficiency in English Comfortable with written and verbal communication - strong analytic mind Capability to express complex data concepts into lay language for stakeholder management
About Us
As a Data Analyst, you will be our eyes in the ocean of data. We expect you to run experiments and studies to find quantitative answers from simple to more complex business or internal questions, having an easy access, and critical view on our data. This role will help the team to have a good control on the content of the data, the consistency, the quality, and should be able to provide deeper insights into the data.
We are looking for a Data Analyst to take the responsibility of designing the specification required for the developments we will plan to find the right data sources, how to transform them, how to analyze & provide insights, while ensuring the functional tests/validations, and creating the definition of done and make sure it is reached, together with the Product Owners.
We are looking for a candidate who has a strong knowledge on both data analyze/querying Data using SQL/ Python, visualizing through PowerBI and a good experience in turning the business needs into analytical insights and provide recommendations to the business with problem solving techniques.
In this position you will be reponsible for
Data Analysis Expertise
Data Analysis querying and exploit the data sets, tables, read and define the right data marts, navigate into the different environment (DWH, Datalakes, etc.) and extract relevant data for businessData Based Decision & Advices know how to leverage the quantitative insight from the data while keeping a critical eye to the content/reliability/information provided. Answering questions, providing precise insights or order of magnitudes easily. Data visualization represent the data insights in synthetic / tailor made dashboards and reports (Power BI, and/or other standard Business Intelligence tools)
Product Support to Data Governance
Knowledge Management keeping an up-to-date documentation / data & metadata description and linking it with the Data Excellence/Master Data Management program and MDM tools. Monitoring Being proactive in the definition of the data quality KPIs to ensure a well monitored data quality level. 
Implementation Follow-Up and Operationel Excellence
Backlog Gather and refine the backlog of user’s stories/requirements and ensure the right execution of the priorities set by the Product Owners & Senior Product Owners. Turn business needs into deliverablesThe description, documentation, and functional tests of new features to be done. Define the rules to validate the expected implementation of the features / User’s Stories (Definition Of Done)Validate the deliveries with the right quality/non-regression level. MVPs Maximizes efficiency in a constantly evolving environment using Minimal Viable Product delivery, and rapid prototyping. Keep a flexible/agile state of mind, while managing the backlog transparently and efficiently and communicating regularly on the progresses. 
Experience in developing innovative data solutions, agile ways of working, intellectual curiosity, and collaborating with small agile delivery teams are critical to enable you to be successful. Furthermore, it is important that you possess strong problem-solving skills and ability to logically analyse complex requirements or processes.
You will be a passionate with the ability to gain business partner agreement, communicate confidently at both the technical and data team level, and collaborate with a wide variety of technical and non-technical teams
 "
